Which of the following goods do you have? (MULTIPLE ANSWERS POSSIBLE),Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
An apartment\ a house which you have finished paying for,12011,5822,6188,1020,1381,2448,7162,1020,848,1137,1844,2337,2869,1956,50,2643,2693,4848,2414,2056,2710,5019,3291,738,999,992,1173,1774,694,436,5205,738,7200,761,1683,617,1658,3447,511,4752,3209,2289,5055.0,1893.0,2773,614,2553,8586,2876,1678,5724,1170,139,12011,0,4196,5067,2732,7235,1502,2787,3969,864,6817,361,1432,3894,3502,3184,1759,5501,1994,2757,4760,6458,6348,5194,2938,4059,2444,1470,5926,4556,10074,1830,4914,4705,2070
An apartment\ a house which you have finished paying for,0.43,0.43,0.43,0.28,0.21,0.35,0.66,0.28,0.21,0.25,0.38,0.57,0.69,0.74,0.6,0.74,0.74,0.6,0.32,0.24,0.58,0.43,0.39,0.3,0.46,0.32,0.35,0.3,0.45,0.25,0.68,0.3,0.51,0.23,0.28,0.33,0.7,0.4,0.31,0.55,0.36,0.41,0.53,0.37,0.36,0.29,0.38,0.47,0.41,0.42,0.44,0.46,0.63,0.64,- ,0.51,0.41,0.37,0.35,0.56,0.67,0.39,0.62,0.43,0.6,0.43,0.39,0.46,0.45,0.45,0.45,0.41,0.39,0.42,0.44,0.41,0.47,0.39,0.41,0.51,0.44,0.45,0.4,0.43,0.43,0.44,0.41,0.43
An apartment\ a house which you are paying for,6814,3423,3390,721,2298,2535,1260,721,1294,1918,1620,767,377,116,3,189,192,1330,2862,2430,605,2769,2842,493,718,1299,1118,1787,352,382,664,493,4001,996,1196,400,139,1395,341,1546,3452,786,1772.0,1550.0,2706,445,1609,4632,1372,780,3500,902,62,6814,0,2123,3147,1543,6145,382,246,2295,121,4341,56,977,2822,1697,1317,1109,3000,1309,1396,2902,3633,4156,2476,2072,2595,1197,977,3317,2499,6124,651,2715,2811,1157
An apartment\ a house which you are paying for,0.24,0.25,0.23,0.2,0.36,0.36,0.12,0.2,0.32,0.42,0.34,0.19,0.09,0.04,0.03,0.05,0.05,0.16,0.38,0.28,0.13,0.23,0.33,0.2,0.33,0.42,0.33,0.3,0.23,0.22,0.09,0.2,0.28,0.3,0.2,0.21,0.06,0.16,0.2,0.18,0.39,0.14,0.19,0.3,0.35,0.21,0.24,0.25,0.19,0.19,0.27,0.36,0.28,0.36,- ,0.26,0.25,0.21,0.3,0.14,0.06,0.23,0.09,0.27,0.09,0.29,0.28,0.22,0.18,0.29,0.25,0.27,0.2,0.25,0.25,0.27,0.22,0.28,0.26,0.25,0.29,0.25,0.22,0.26,0.15,0.24,0.25,0.24
None (SPONTANEOUS),95,42,54,11,22,34,29,11,13,19,24,21,8,1,0,1,1,29,40,26,18,40,30,7,18,9,18,18,5,5,15,7,57,10,11,7,3,16,5,23,44,12,22.0,28.0,32,7,12,50,6,6,31,16,5,0,95,17,61,17,76,10,6,51,3,31,10,3,34,24,35,5,31,14,45,21,51,30,48,13,22,6,3,31,61,80,10,32,23,33
None (SPONTANEOUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,- ,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0,0,0,0,0,0,0,0.01,0.02,- ,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01
DK,176,94,82,11,54,44,67,11,29,37,32,33,20,14,0,16,16,60,47,53,17,70,68,13,7,44,32,33,2,5,41,13,122,7,24,6,2,30,2,61,68,24,74.0,50.0,29,5,13,107,12,20,93,11,0,0,176,51,54,69,120,23,25,77,12,84,2,7,35,59,75,16,106,25,29,79,71,99,50,19,72,12,17,107,48,142,19,56,89,26
DK,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,- ,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0,0.01,0,0.01,0.01,0,- ,- ,0.02,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0.01,0,0.01,0,0,0.01,0.01
Total 'Computing device',20827,10527,10300,3218,5495,5956,6158,3218,3507,3920,4024,2996,2303,859,13,1301,1315,5556,6421,7536,1882,8807,7590,2303,1911,2777,3014,4754,913,1204,3951,2303,10848,2796,4783,1313,847,5727,1215,6033,7611,3124,6579.0,4373.0,6751,1212,4622,14518,4074,2836,10638,2321,200,14228,6600,5883,9345,5582,18134,2047,619,7306,307,13114,101,2907,8133,5477,4310,3321,9607,3616,4283,9104,10576,12424,7693,5947,7521,3606,2914,10613,7228,18425,2295,8946,8172,3385
Total 'Computing device',0.74,0.78,0.71,0.88,0.85,0.85,0.57,0.88,0.85,0.85,0.84,0.73,0.56,0.33,0.16,0.37,0.36,0.68,0.85,0.86,0.4,0.75,0.89,0.95,0.87,0.91,0.89,0.79,0.6,0.68,0.51,0.95,0.77,0.84,0.8,0.7,0.36,0.67,0.73,0.7,0.86,0.55,0.69,0.85,0.87,0.57,0.68,0.79,0.58,0.71,0.82,0.92,0.9,0.76,0.71,0.72,0.75,0.77,0.89,0.76,0.15,0.72,0.22,0.83,0.17,0.87,0.81,0.72,0.6,0.86,0.79,0.74,0.6,0.8,0.72,0.79,0.69,0.79,0.77,0.75,0.86,0.8,0.64,0.78,0.54,0.81,0.72,0.7
